supplier_id,supplier_name,contact_person,contact_phone,contact_email,category,rating,region,etl_loaded_at,source_system
SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,zhangweihua@hualian-elec.com,electronics,4.7,华南,2025-09-01T08:15:30Z,erp
SUP-002,广州市骏达物流有限公司,李雪梅,13900139002,xuemei@junda-logistics.com,logistics,4.3,华南,2025-09-01T08:15:31Z,erp
SUP003,佛山顺德永盛包装制品厂,陈志强,,chenzhiqiang@yongsheng-pkg.com,packaging,N/A,华南,2025-09-01T08:15:32Z,erp
SUP-004,东莞恒辉塑胶原料有限公司,王晓东,13700137004,wangxiaodong@henghui-plastic.com,raw_material,4.5分,华南,2025-09-01T08:15:33Z,erp
SUP-005,中山金辉照明股份有限公司,刘美玲,13600136005,meiling@jinhui-lighting.com,electronics,4.8,华南,2025-09-01T08:15:34Z,erp
SUP006,杭州华诺纺织有限公司,赵建国,13500135006,jianguo@huanuo-textile.com,textile,3.9,华东,2025-09-01T08:15:35Z,erp
SUP-007,宁波港盛国际货运代理有限公司,孙立军,13400134007,lijun@gangsheng-freight.com,logistics,4.1,华东,2025-09-01T08:15:36Z,erp
SUP008,苏州精工五金配件有限公司,周慧敏,13300133008,huimin@jingong-hardware.com,hardware,4.6,华东,2025-09-01T08:15:37Z,erp
SUP-009,上海明远食品贸易有限公司,吴志远,,zhiyuan@mingyuan-food.com,food,3.5,华东,2025-09-01T08:15:38Z,erp
SUP-010,青岛海通冷链运输股份有限公司,郑海涛,13200132010,haitao@haitong-coldchain.com,logistics,4.4,华北,2025-09-01T08:15:39Z,erp
SUP-0011,天津北方化工原料有限公司,马晓燕,13100131011,xiaoyan@beifang-chem.com,raw_material,N/A,华北,2025-09-01T08:15:40Z,erp
SUP-012,北京京诚物流股份有限公司,黄国梁,13000130012,guoliang@jingcheng-logistics.com,logistics,4.2,华北,2025-09-01T08:15:41Z,erp
SUP-0013,武汉长江冷链设备有限公司,徐俊,15900159013,jun@yangtze-coldchain.com,equipment,3.8,华中,2025-09-01T08:15:42Z,erp
SUP-014,长沙湘江食品有限公司,宋佳琪,15800158014,jiaqi@xiangjiang-food.com,food,4.0,华中,2025-09-01T08:15:43Z,erp
SUP-015,合肥科晶光电材料有限公司,范明辉,15700157015,minghui@kejing-optical.com,raw_material,4.5,华中,2025-09-01T08:15:44Z,erp
SUP016,成都川西物流有限公司,黎明,,ming@chuanxi-logistics.com,logistics,3.7,西南,2025-09-01T08:15:45Z,erp
SUP-017,重庆山城包装制品有限公司,韩雪,15600156017,xue@shancheng-pkg.com,packaging,4.1,西南,2025-09-01T08:15:46Z,erp
SUP-018,西安西都食品贸易有限公司,高建军,15500155018,jiangjun@xidu-food.com,food,3.6,西北,2025-09-01T08:15:47Z,erp
SUP-019,兰州西北物流有限公司,林志玲,15400154019,zhiling@xibei-logistics.com,logistics,4.0,西北,2025-09-01T08:15:48Z,erp
SUP-020,昆明云岭冷链运输有限公司,蔡晓东,,xiaodong@yunling-coldchain.com,logistics,3.4,西南,2025-09-01T08:15:49Z,erp
SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,zhangweihua@hualian-elec.com,electronics,4.7,华南,2025-09-01T08:15:30Z,erp
SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,zhangweihua@hualian-elec.com,electronics,4.7,华南,2025-09-01T08:15:30Z,erp
